host=pax049 gpu=NVIDIA A100 80GB PCIe
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['k96', 'k128', 'k48_wd', 'k48_h512'] steps=120000
  whitening round-trip 1.183e-14   q == L^T h deviation 2.312e-15
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[k48_wd]   85000/120000 loss 4.4550e-06 recon 2.1453e-03 [488s]
   hfit[k48_wd]   90000/120000 loss 3.6666e-06 recon 1.9856e-03 [516s]
   hfit[k48_wd]   95000/120000 loss 2.4053e-06 recon 1.6348e-03 [545s]
   hfit[k48_wd]  100000/120000 loss 1.8622e-06 recon 1.4818e-03 [573s]
   hfit[k48_wd]  105000/120000 loss 1.5932e-06 recon 1.3866e-03 [602s]
   hfit[k48_wd]  110000/120000 loss 1.4594e-06 recon 1.3450e-03 [630s]
   hfit[k48_wd]  115000/120000 loss 1.4179e-06 recon 1.3225e-03 [659s]
   hfit[k48_wd]  120000/120000 loss 1.3807e-06 recon 1.3106e-03 [687s]
  ARM k48_wd: recon 1.3106e-03  oracle 3.9600e-03  oracle/floor 18.6x  oracle_nn 3.9592e-03  code-refit gain 1.208x
   hfit[k48_h512]       1/120000 loss 1.0428e+00 recon 1.0205e+00 [4s]
   hfit[k48_h512]    5000/120000 loss 1.0518e-03 recon 2.8793e-02 [15s]
   hfit[k48_h512]   10000/120000 loss 4.5192e-04 recon 1.9903e-02 [27s]
   hfit[k48_h512]   15000/120000 loss 2.7561e-04 recon 1.5304e-02 [38s]
   hfit[k48_h512]   20000/120000 loss 2.0142e-04 recon 1.2286e-02 [50s]
   hfit[k48_h512]   25000/120000 loss 1.4491e-04 recon 1.0991e-02 [61s]
   hfit[k48_h512]   30000/120000 loss 9.9759e-05 recon 8.9626e-03 [73s]
   hfit[k48_h512]   35000/120000 loss 1.0337e-04 recon 9.2159e-03 [84s]
   hfit[k48_h512]   40000/120000 loss 6.5556e-05 recon 7.5522e-03 [95s]
   hfit[k48_h512]   45000/120000 loss 4.8290e-05 recon 6.3636e-03 [107s]
   hfit[k48_h512]   50000/120000 loss 3.3936e-05 recon 5.4221e-03 [118s]
   hfit[k48_h512]   55000/120000 loss 4.4372e-05 recon 6.1075e-03 [130s]
   hfit[k48_h512]   60000/120000 loss 3.0231e-05 recon 4.9456e-03 [141s]
   hfit[k48_h512]   65000/120000 loss 1.9714e-05 recon 4.1412e-03 [153s]
   hfit[k48_h512]   70000/120000 loss 1.4662e-05 recon 3.7329e-03 [164s]
   hfit[k48_h512]   75000/120000 loss 1.0064e-05 recon 3.0979e-03 [176s]
   hfit[k48_h512]   80000/120000 loss 9.6055e-06 recon 3.0216e-03 [187s]
   hfit[k48_h512]   85000/120000 loss 7.4145e-06 recon 2.6983e-03 [198s]
   hfit[k48_h512]   90000/120000 loss 6.4290e-06 recon 2.5096e-03 [210s]
   hfit[k48_h512]   95000/120000 loss 5.3230e-06 recon 2.2694e-03 [221s]
   hfit[k48_h512]  100000/120000 loss 4.8567e-06 recon 2.1864e-03 [233s]
   hfit[k48_h512]  105000/120000 loss 4.4339e-06 recon 2.0804e-03 [244s]
   hfit[k48_h512]  110000/120000 loss 4.1362e-06 recon 2.0306e-03 [256s]
   hfit[k48_h512]  115000/120000 loss 4.1077e-06 recon 1.9997e-03 [267s]
   hfit[k48_h512]  120000/120000 loss 4.0077e-06 recon 1.9811e-03 [279s]
  ARM k48_h512: recon 1.9811e-03  oracle 4.0853e-03  oracle/floor 19.2x  oracle_nn 4.0853e-03  code-refit gain 1.135x
HFIT done in 2543s -> /cluster/tufts/paralab/tawal01/burgacc/hf7/out/hfit_hf7.json
ALL-DONE
