host=pax049 gpu=NVIDIA A100 80GB PCIe
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['k48', 'k64', 'znoise', 'znoise05'] steps=120000
  whitening round-trip 1.183e-14   q == L^T h deviation 2.312e-15
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[znoise]   90000/120000 loss 1.5265e-04 recon 5.0429e-03 [486s]
   hfit[znoise]   95000/120000 loss 1.5118e-04 recon 4.5458e-03 [513s]
   hfit[znoise]  100000/120000 loss 1.4511e-04 recon 4.1131e-03 [539s]
   hfit[znoise]  105000/120000 loss 1.4099e-04 recon 3.7587e-03 [566s]
   hfit[znoise]  110000/120000 loss 1.3821e-04 recon 3.4916e-03 [593s]
   hfit[znoise]  115000/120000 loss 1.3216e-04 recon 3.2548e-03 [620s]
   hfit[znoise]  120000/120000 loss 1.3395e-04 recon 3.1645e-03 [647s]
  ARM znoise: recon 3.1645e-03  oracle 9.9909e-03  oracle/floor 47.0x  oracle_nn 9.9756e-03  code-refit gain 1.170x
   hfit[znoise05]       1/120000 loss 1.0157e+00 recon 1.0077e+00 [1s]
   hfit[znoise05]    5000/120000 loss 5.5303e-03 recon 5.0259e-02 [28s]
   hfit[znoise05]   10000/120000 loss 2.7119e-03 recon 3.0487e-02 [55s]
   hfit[znoise05]   15000/120000 loss 1.8863e-03 recon 2.4886e-02 [81s]
   hfit[znoise05]   20000/120000 loss 1.4614e-03 recon 2.0420e-02 [108s]
   hfit[znoise05]   25000/120000 loss 1.1157e-03 recon 1.7949e-02 [135s]
   hfit[znoise05]   30000/120000 loss 8.2139e-04 recon 1.4673e-02 [162s]
   hfit[znoise05]   35000/120000 loss 6.0880e-04 recon 1.2826e-02 [189s]
   hfit[znoise05]   40000/120000 loss 4.9213e-04 recon 1.1289e-02 [215s]
   hfit[znoise05]   45000/120000 loss 3.8876e-04 recon 1.1116e-02 [242s]
   hfit[znoise05]   50000/120000 loss 3.0404e-04 recon 9.0373e-03 [269s]
   hfit[znoise05]   55000/120000 loss 2.5833e-04 recon 8.3783e-03 [296s]
   hfit[znoise05]   60000/120000 loss 2.1773e-04 recon 7.4136e-03 [323s]
   hfit[znoise05]   65000/120000 loss 1.8886e-04 recon 6.9165e-03 [349s]
   hfit[znoise05]   70000/120000 loss 1.6398e-04 recon 6.4252e-03 [376s]
   hfit[znoise05]   75000/120000 loss 1.4687e-04 recon 5.8032e-03 [403s]
   hfit[znoise05]   80000/120000 loss 1.3069e-04 recon 5.5033e-03 [430s]
   hfit[znoise05]   85000/120000 loss 1.2084e-04 recon 5.0420e-03 [457s]
   hfit[znoise05]   90000/120000 loss 1.1305e-04 recon 4.6619e-03 [484s]
   hfit[znoise05]   95000/120000 loss 1.0373e-04 recon 4.3134e-03 [510s]
   hfit[znoise05]  100000/120000 loss 9.8955e-05 recon 4.0517e-03 [537s]
   hfit[znoise05]  105000/120000 loss 9.6387e-05 recon 3.7801e-03 [564s]
   hfit[znoise05]  110000/120000 loss 9.5345e-05 recon 3.6292e-03 [591s]
   hfit[znoise05]  115000/120000 loss 9.2060e-05 recon 3.4179e-03 [618s]
   hfit[znoise05]  120000/120000 loss 8.9791e-05 recon 3.3910e-03 [645s]
  ARM znoise05: recon 3.3910e-03  oracle 2.5556e-02  oracle/floor 120.3x  oracle_nn 2.5136e-02  code-refit gain 1.214x
HFIT done in 2746s -> /cluster/tufts/paralab/tawal01/burgacc/hf5/out/hfit_hf5.json
ALL-DONE
