coarse_neq,fine_neq,coarse_iters,fine_iters,rom_time_ms,fom_time_ms,speedup_vs_fom,rel_l2_median,rel_l2_p90,rel_l2_max,frac_le_1e-2,frac_le_5e-3,iters_c_med,iters_f_med
1000,8000,10,5,184.16,273.98,1.488,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
1000,8000,10,10,203.45,273.98,1.347,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
1000,8000,10,20,200.24,273.98,1.368,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
1000,8000,20,3,172.96,273.98,1.584,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
1000,8000,20,5,210.61,273.98,1.301,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
1000,8000,20,10,212.16,273.98,1.291,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
1000,8000,20,20,212.91,273.98,1.287,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
1000,8000,30,3,199.99,273.98,1.370,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
1000,8000,30,5,227.24,273.98,1.206,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
1000,8000,30,10,233.13,273.98,1.175,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
1000,8000,30,20,233.04,273.98,1.176,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
