method,median_error_percent,worst_error_percent,all_times_worst_percent,initial_worst_percent,physical_worst_percent,gpu_ms_median,gpu_ms_p95,nonfinite_cases,nonstationary_cases,timing_outliers,invocations,status
"NM-ROM K32, q0",5.7071,10.8780,11.7177,11.7177,—,185.96437096130103,230.67573991138488,0,0,0,24,development
"NM-ROM K32, q64",4.9359,8.9108,9.4908,9.4908,—,267.2278725076467,324.79311587521806,0,0,0,24,development
"NM-ROM K32, q128",3.3258,6.6491,7.1187,7.1187,—,352.971245883964,427.9535913839936,0,0,0,24,development
"NM-ROM K32, q192",1.3600,3.4908,3.9087,3.9087,—,417.75202692952007,619.3956642760895,0,0,0,24,development
Full learned bank R256,0.8437,2.4345,2.8901,2.8901,—,316.8939381139353,317.80812186188996,0,0,0,24,development
POD32,9.5224,22.6947,24.9424,24.9424,—,95.76501091942191,96.09162721317261,0,0,0,24,development
POD96,1.9855,5.5785,6.6983,6.6983,—,150.55200504139066,151.5708868042566,0,0,0,24,development
POD160,0.7675,2.5057,3.0153,3.0153,—,224.2319465149194,224.92230890784413,0,0,0,24,development
POD224,0.3988,1.2100,1.5306,1.5306,—,284.3625210225582,285.41655695298687,0,0,0,24,development
POD256,0.3292,1.0363,1.2631,1.2631,—,315.91072701849043,317.2418004483916,0,0,0,24,development
"FNO, time interpolation",1.6413,1.9979,1.9979,0.0000,—,5.9589429292827845,6.425705610308795,0,0,0,24,development
"U-Net, time interpolation",1.6239,1.9129,1.9129,0.0000,—,2.242087619379163,2.5080876192077994,0,0,0,24,development
"FOM n1e-02, l5e-01",1.2739,1.6185,1.6185,0.0000,—,16.140885069034994,16.597455472219735,0,0,0,24,development
"FOM n1e-02, l5e-03",0.0382,0.6543,0.6543,0.0000,—,18.239389872178435,21.01136352866888,0,0,0,24,development
"FOM n1e-03, l5e-01",0.4692,0.5248,0.5248,0.0000,—,19.954240531660616,21.066158427856863,0,0,0,24,development
"FOM n1e-04, l5e-01",0.0267,0.0303,0.0303,0.0000,—,32.301899045705795,34.89393717609346,0,0,0,24,development
"FOM n1e-04, l1e-06",0.0188,0.0207,0.0207,0.0000,—,37.32637607026845,41.86593887861818,0,0,0,24,development
"FOM n1e-06, l1e-01",0.0002,0.0003,0.0003,0.0000,—,48.91503055114299,50.78279093140736,0,0,0,24,development
