host=pax049 gpu=NVIDIA A100 80GB PCIe
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['wide', 'refit_ctl'] steps=120000
  whitening round-trip 1.183e-14   q == L^T h deviation 2.312e-15
  span LS floor: train 4.3056e-04  fresh test 2.1236e-04  (S=12301, R=512, K_ckpt=16)
   hfit[wide]       1/120000 loss 1.0162e+00 recon 1.0082e+00 [8s]
   hfit[wide]    5000/120000 loss 1.5230e-03 recon 3.6754e-02 [35s]
   hfit[wide]   10000/120000 loss 5.8759e-04 recon 2.2619e-02 [62s]
   hfit[wide]   15000/120000 loss 3.6351e-04 recon 1.7748e-02 [90s]
   hfit[wide]   20000/120000 loss 2.6158e-04 recon 1.5022e-02 [117s]
   hfit[wide]   25000/120000 loss 1.5228e-04 recon 1.1370e-02 [145s]
   hfit[wide]   30000/120000 loss 7.1790e-05 recon 7.8149e-03 [173s]
   hfit[wide]   35000/120000 loss 1.3912e-04 recon 1.0990e-02 [200s]
   hfit[wide]   40000/120000 loss 9.7927e-05 recon 8.7380e-03 [228s]
   hfit[wide]   45000/120000 loss 6.8739e-05 recon 7.4273e-03 [256s]
   hfit[wide]   50000/120000 loss 6.5938e-05 recon 6.8087e-03 [283s]
   hfit[wide]   55000/120000 loss 4.9892e-05 recon 6.1098e-03 [311s]
   hfit[wide]   60000/120000 loss 3.1081e-05 recon 5.2197e-03 [339s]
   hfit[wide]   65000/120000 loss 2.5607e-05 recon 4.8162e-03 [366s]
   hfit[wide]   70000/120000 loss 3.0188e-05 recon 5.3030e-03 [394s]
   hfit[wide]   75000/120000 loss 1.3405e-05 recon 3.6962e-03 [422s]
   hfit[wide]   80000/120000 loss 1.0596e-05 recon 3.1977e-03 [449s]
   hfit[wide]   85000/120000 loss 6.3931e-06 recon 2.5778e-03 [477s]
   hfit[wide]   90000/120000 loss 6.0217e-06 recon 2.5246e-03 [505s]
   hfit[wide]   95000/120000 loss 5.0996e-06 recon 2.3192e-03 [533s]
   hfit[wide]  100000/120000 loss 4.3559e-06 recon 2.1985e-03 [560s]
   hfit[wide]  105000/120000 loss 3.3515e-06 recon 1.9185e-03 [588s]
   hfit[wide]  110000/120000 loss 3.1141e-06 recon 1.8588e-03 [616s]
   hfit[wide]  115000/120000 loss 3.0019e-06 recon 1.8178e-03 [643s]
   hfit[wide]  120000/120000 loss 2.9104e-06 recon 1.7944e-03 [671s]
  ARM wide: recon 1.7944e-03  oracle 8.4988e-03  oracle/floor 40.0x  oracle_nn 8.4769e-03  code-refit gain 1.066x  hold 1.4942e-02 (42.6x)
   hfit[refit_ctl]       1/120000 loss 1.0042e-04 recon 7.3762e-03 [5s]
   hfit[refit_ctl]    5000/120000 loss 3.7630e-04 recon 1.4024e-02 [9s]
   hfit[refit_ctl]   10000/120000 loss 1.7594e-04 recon 1.0421e-02 [13s]
   hfit[refit_ctl]   15000/120000 loss 8.4293e-05 recon 7.5924e-03 [18s]
   hfit[refit_ctl]   20000/120000 loss 1.8473e-04 recon 1.1737e-02 [22s]
   hfit[refit_ctl]   25000/120000 loss 1.1251e-04 recon 8.7220e-03 [26s]
   hfit[refit_ctl]   30000/120000 loss 8.0360e-05 recon 7.5834e-03 [31s]
   hfit[refit_ctl]   35000/120000 loss 1.1193e-04 recon 8.7964e-03 [35s]
   hfit[refit_ctl]   40000/120000 loss 8.7701e-05 recon 7.6331e-03 [39s]
   hfit[refit_ctl]   45000/120000 loss 8.1271e-05 recon 7.5117e-03 [43s]
   hfit[refit_ctl]   50000/120000 loss 8.3979e-05 recon 7.5481e-03 [48s]
   hfit[refit_ctl]   55000/120000 loss 6.6880e-05 recon 6.9626e-03 [52s]
   hfit[refit_ctl]   60000/120000 loss 7.4138e-05 recon 7.3468e-03 [56s]
   hfit[refit_ctl]   65000/120000 loss 8.3083e-05 recon 7.7232e-03 [61s]
   hfit[refit_ctl]   70000/120000 loss 6.2029e-05 recon 6.9526e-03 [65s]
   hfit[refit_ctl]   75000/120000 loss 5.7198e-05 recon 6.5806e-03 [69s]
   hfit[refit_ctl]   80000/120000 loss 5.7569e-05 recon 6.5653e-03 [74s]
   hfit[refit_ctl]   85000/120000 loss 5.2353e-05 recon 6.1834e-03 [78s]
   hfit[refit_ctl]   90000/120000 loss 5.0661e-05 recon 6.0578e-03 [82s]
   hfit[refit_ctl]   95000/120000 loss 4.9513e-05 recon 6.0223e-03 [86s]
   hfit[refit_ctl]  100000/120000 loss 4.6608e-05 recon 5.9675e-03 [91s]
   hfit[refit_ctl]  105000/120000 loss 4.7897e-05 recon 5.9256e-03 [95s]
   hfit[refit_ctl]  110000/120000 loss 4.4900e-05 recon 5.9040e-03 [99s]
   hfit[refit_ctl]  115000/120000 loss 4.7482e-05 recon 5.8881e-03 [104s]
   hfit[refit_ctl]  120000/120000 loss 4.6748e-05 recon 5.8835e-03 [108s]
  ARM refit_ctl: recon 5.8835e-03  oracle 7.6828e-03  oracle/floor 36.2x  oracle_nn 7.6828e-03  code-refit gain 1.000x  hold 9.4721e-03 (27.0x)
HFIT done in 841s -> /cluster/tufts/paralab/tawal01/burgacc/lc432/out/hfit_lc432.json
ALL-DONE
