host=pax003 gpu=NVIDIA A100-PCIE-40GB
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['k48_wd4', 'k48_wd3', 'k48_wd2', 'k48_short'] steps=120000
  whitening round-trip 1.183e-14   q == L^T h deviation 2.312e-15
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[k48_wd2]   60000/120000 loss 2.1884e-05 recon 4.3542e-03 [380s]
   hfit[k48_wd2]   65000/120000 loss 1.4532e-05 recon 3.5124e-03 [412s]
   hfit[k48_wd2]   70000/120000 loss 1.1576e-05 recon 3.1646e-03 [443s]
   hfit[k48_wd2]   75000/120000 loss 1.0747e-05 recon 3.0215e-03 [475s]
   hfit[k48_wd2]   80000/120000 loss 6.7942e-06 recon 2.4868e-03 [507s]
   hfit[k48_wd2]   85000/120000 loss 4.9723e-06 recon 2.2279e-03 [538s]
   hfit[k48_wd2]   90000/120000 loss 3.5807e-06 recon 1.9607e-03 [570s]
   hfit[k48_wd2]   95000/120000 loss 2.1419e-06 recon 1.5483e-03 [602s]
   hfit[k48_wd2]  100000/120000 loss 1.8901e-06 recon 1.4866e-03 [633s]
   hfit[k48_wd2]  105000/120000 loss 1.5467e-06 recon 1.3579e-03 [665s]
   hfit[k48_wd2]  110000/120000 loss 1.4134e-06 recon 1.3181e-03 [696s]
   hfit[k48_wd2]  115000/120000 loss 1.3756e-06 recon 1.2946e-03 [728s]
   hfit[k48_wd2]  120000/120000 loss 1.3371e-06 recon 1.2827e-03 [760s]
  ARM k48_wd2: recon 1.2827e-03  oracle 3.9796e-03  oracle/floor 18.7x  oracle_nn 3.9795e-03  code-refit gain 1.216x
   hfit[k48_short]       1/25000 loss 1.0426e+00 recon 1.0204e+00 [1s]
   hfit[k48_short]    5000/25000 loss 9.1378e-04 recon 2.6906e-02 [33s]
   hfit[k48_short]   10000/25000 loss 3.0743e-04 recon 1.5987e-02 [64s]
   hfit[k48_short]   15000/25000 loss 1.1264e-04 recon 1.0157e-02 [96s]
   hfit[k48_short]   20000/25000 loss 5.3998e-05 recon 7.0591e-03 [127s]
   hfit[k48_short]   25000/25000 loss 4.2761e-05 recon 6.3063e-03 [159s]
  ARM k48_short: recon 6.3063e-03  oracle 7.3157e-03  oracle/floor 34.4x  oracle_nn 7.3102e-03  code-refit gain 1.381x
HFIT done in 2557s -> /cluster/tufts/paralab/tawal01/burgacc/hf8/out/hfit_hf8.json
ALL-DONE
