problem,phase,intervals,method,gpu_ms,host_ms,worst_error,error_norm,target,qualified,solver_converged,stationarity_status,stalled_initial_fits,stalled_steps,gpu_outliers,host_outliers,invocations,job_id
Heat 2D,original comparison,1024,nmrom_cholesky,12.206228449940681,36.841067019850016,0.045554794798807384,current-relative field L2,0.05,True,True,see native solver audit,0,0,0,0,36,3529772
Burgers 2D,original comparison,64,nmrom,36.22636804357171,37.82176552340388,0.10854648110955394,fixed-initial field L2,0.05,False,,unmeasured: small-improvement/step exits are not stationarity certificates,12,600,0,0,12,3534502
Burgers 2D,original comparison,64,fft_loose,13.895599520765245,15.236963052302599,0.10391989296894667,fixed-initial field L2,0.05,False,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,64,fft_medium,14.041299116797745,15.617916942574084,0.10469240327480868,fixed-initial field L2,0.05,False,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,64,fft_tight,78.23955256026238,79.78611649014056,0.10989131074463117,fixed-initial field L2,0.05,False,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,64,dense_medium,11.087928549386561,12.849353952333331,0.10469240327480864,fixed-initial field L2,0.05,False,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,256,nmrom,35.74702958576381,38.35238900501281,0.045507001261942716,fixed-initial field L2,0.05,True,,unmeasured: small-improvement/step exits are not stationarity certificates,12,600,0,0,12,3534502
Burgers 2D,original comparison,256,fft_loose,15.84670611191541,18.36025097873062,0.024736873566384775,fixed-initial field L2,0.05,True,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,256,fft_medium,17.472705454565585,20.098447101190686,0.029434559042005756,fixed-initial field L2,0.05,True,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,256,fft_tight,117.47287947218865,119.92221011314541,0.0402651465711523,fixed-initial field L2,0.05,True,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,256,dense_medium,13.963493052870035,16.439873026683927,0.02943455904200593,fixed-initial field L2,0.05,True,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,1024,nmrom,41.676780325360596,60.09758752770722,0.039076203252235465,fixed-initial field L2,0.05,True,,unmeasured: small-improvement/step exits are not stationarity certificates,12,600,0,0,12,3534502
Burgers 2D,original comparison,1024,fft_loose,68.04365944117308,86.67373354546726,0.023899365244885784,fixed-initial field L2,0.05,True,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,1024,fft_medium,79.15743463672698,97.92245540302247,0.016565590865307404,fixed-initial field L2,0.05,True,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,1024,fft_tight,605.7469940278679,624.4373864028603,0.021416109568868053,fixed-initial field L2,0.05,True,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Burgers 2D,original comparison,1024,dense_medium,115.68444699514657,134.51277848798782,0.016565590865307723,fixed-initial field L2,0.05,True,True,full-grid nonlinear residual and true linear correction residual checked,0,0,0,0,12,3534502
Reflective waves,original comparison,64,frozen_mlp32_seed691200,4510.115586454049,,0.03640744983324231,current-relative displacement L2; gate checks all three wave components,0.05,False,True,see native solver audit,0,0,0,,6,3534457
Reflective waves,original comparison,64,dst,3.680776571854949,,0.0,current-relative displacement L2; gate checks all three wave components,0.05,True,True,see native solver audit,0,0,0,,6,3534457
Reflective waves,original comparison,64,cg_1e-06,110.52655254025012,,0.0035207798835244827,current-relative displacement L2; gate checks all three wave components,0.05,True,True,see native solver audit,0,0,0,,6,3534457
Reflective waves,original comparison,64,cg_0.01,82.64786005020142,,0.005961433080698862,current-relative displacement L2; gate checks all three wave components,0.05,True,True,see native solver audit,0,0,0,,6,3534457
Reflective waves,original comparison,256,frozen_mlp32_seed691200,4530.3358705714345,,0.03568985985050851,current-relative displacement L2; gate checks all three wave components,0.05,False,True,see native solver audit,0,0,0,,6,3534457
Reflective waves,original comparison,256,dst,4.031282966025174,,0.0,current-relative displacement L2; gate checks all three wave components,0.05,True,True,see native solver audit,0,0,0,,6,3534457
