host=pax007 gpu=NVIDIA A100 80GB PCIe
jax_backend=gpu
stage MANIFEST OK
jax_backend=gpu device=cuda:0 x64=True HFIT arms=['k8', 'k24', 'k32', 'early', 'zpolish'] steps=120000
  whitening round-trip 1.183e-14   q == L^T h deviation 2.312e-15
  span LS floor: train 4.1422e-04  fresh test 2.1236e-04  (S=16384, R=512, K_ckpt=16)
   hfit[k32]   90000/120000 loss 4.0878e-06 recon 2.0566e-03 [494s]
   hfit[k32]   95000/120000 loss 3.3808e-06 recon 1.9311e-03 [521s]
   hfit[k32]  100000/120000 loss 2.9775e-06 recon 1.8183e-03 [549s]
   hfit[k32]  105000/120000 loss 2.5318e-06 recon 1.6900e-03 [576s]
   hfit[k32]  110000/120000 loss 2.3291e-06 recon 1.6273e-03 [603s]
   hfit[k32]  115000/120000 loss 2.2447e-06 recon 1.5961e-03 [630s]
   hfit[k32]  120000/120000 loss 2.1727e-06 recon 1.5795e-03 [658s]
  ARM k32: recon 1.5795e-03  oracle 5.0671e-03  oracle/floor 23.9x  oracle_nn 5.0640e-03  code-refit gain 1.168x
   hfit[early]       1/120000 loss 9.9702e-01 recon 1.0077e+00 [3s]
   hfit[early]    5000/120000 loss 1.5066e-03 recon 3.6946e-02 [30s]
   hfit[early]   10000/120000 loss 7.4189e-04 recon 2.5484e-02 [57s]
   hfit[early]   15000/120000 loss 5.3301e-04 recon 2.1745e-02 [84s]
   hfit[early]   20000/120000 loss 2.9434e-04 recon 1.6407e-02 [111s]
   hfit[early]   25000/120000 loss 1.6441e-04 recon 1.2633e-02 [138s]
   hfit[early]   30000/120000 loss 1.4334e-04 recon 1.1769e-02 [165s]
   hfit[early]   35000/120000 loss 1.0955e-04 recon 9.9748e-03 [192s]
   hfit[early]   40000/120000 loss 8.2879e-05 recon 8.6943e-03 [219s]
   hfit[early]   45000/120000 loss 6.8003e-05 recon 8.2611e-03 [246s]
   hfit[early]   50000/120000 loss 3.7398e-05 recon 6.1386e-03 [273s]
   hfit[early]   55000/120000 loss 4.0677e-05 recon 6.1880e-03 [300s]
   hfit[early]   60000/120000 loss 6.4594e-05 recon 7.4237e-03 [327s]
   hfit[early]   65000/120000 loss 2.5115e-05 recon 4.9459e-03 [354s]
   hfit[early]   70000/120000 loss 3.2235e-05 recon 5.5809e-03 [381s]
   hfit[early]   75000/120000 loss 1.4517e-05 recon 4.0214e-03 [408s]
   hfit[early]   80000/120000 loss 1.4842e-05 recon 3.9615e-03 [435s]
   hfit[early]   85000/120000 loss 1.0039e-05 recon 3.3775e-03 [462s]
   hfit[early]   90000/120000 loss 7.5934e-06 recon 2.9423e-03 [489s]
   hfit[early]   95000/120000 loss 6.4823e-06 recon 2.7868e-03 [516s]
   hfit[early]  100000/120000 loss 5.4858e-06 recon 2.5585e-03 [543s]
   hfit[early]  105000/120000 loss 4.8690e-06 recon 2.4090e-03 [570s]
   hfit[early]  110000/120000 loss 4.5667e-06 recon 2.3453e-03 [597s]
   hfit[early]  115000/120000 loss 4.3467e-06 recon 2.2988e-03 [623s]
   hfit[early]  120000/120000 loss 4.2671e-06 recon 2.2720e-03 [650s]
  ARM early: recon 2.2720e-03  oracle 6.5028e-03  oracle/floor 30.6x  oracle_nn 6.4663e-03  code-refit gain 1.085x
   hfit[zpolish]       1/120000 loss 1.0168e+00 recon 1.0077e+00 [1s]
   hfit[zpolish]    5000/120000 loss 1.8695e-03 recon 3.9510e-02 [28s]
   hfit[zpolish]   10000/120000 loss 1.0144e-03 recon 2.9880e-02 [55s]
   hfit[zpolish]   15000/120000 loss 3.3791e-04 recon 1.6382e-02 [89s]
   hfit[zpolish]   20000/120000 loss 2.0242e-04 recon 1.3301e-02 [116s]
   hfit[zpolish]   25000/120000 loss 2.1787e-04 recon 1.3599e-02 [148s]
   hfit[zpolish]   30000/120000 loss 1.0225e-04 recon 8.8971e-03 [175s]
   hfit[zpolish]   35000/120000 loss 1.0603e-04 recon 8.9556e-03 [207s]
   hfit[zpolish]   40000/120000 loss 1.0657e-04 recon 8.5425e-03 [234s]
   hfit[zpolish]   45000/120000 loss 9.7950e-05 recon 8.9632e-03 [266s]
   hfit[zpolish]   50000/120000 loss 9.3435e-05 recon 8.6447e-03 [293s]
   hfit[zpolish]   55000/120000 loss 8.8007e-05 recon 8.7584e-03 [325s]
   hfit[zpolish]   60000/120000 loss 7.8630e-05 recon 8.1054e-03 [352s]
   hfit[zpolish]   65000/120000 loss 6.9102e-05 recon 7.5747e-03 [385s]
   hfit[zpolish]   70000/120000 loss 5.3954e-05 recon 6.5058e-03 [412s]
   hfit[zpolish]   75000/120000 loss 5.4858e-05 recon 6.8591e-03 [444s]
   hfit[zpolish]   80000/120000 loss 3.8148e-05 recon 5.9492e-03 [471s]
   hfit[zpolish]   85000/120000 loss 5.1402e-05 recon 6.4757e-03 [503s]
   hfit[zpolish]   90000/120000 loss 5.0064e-05 recon 6.1706e-03 [530s]
   hfit[zpolish]   95000/120000 loss 4.4125e-05 recon 5.8597e-03 [562s]
   hfit[zpolish]  100000/120000 loss 5.5114e-05 recon 6.5555e-03 [589s]
   hfit[zpolish]  105000/120000 loss 5.4530e-05 recon 6.2273e-03 [621s]
   hfit[zpolish]  110000/120000 loss 3.7249e-05 recon 5.4232e-03 [648s]
   hfit[zpolish]  115000/120000 loss 3.4937e-05 recon 5.3816e-03 [680s]
   hfit[zpolish]  120000/120000 loss 3.4346e-05 recon 5.1102e-03 [708s]
  ARM zpolish: recon 5.1102e-03  oracle 9.2663e-03  oracle/floor 43.6x  oracle_nn 9.2579e-03  code-refit gain 1.756x
HFIT done in 3444s -> /cluster/tufts/paralab/tawal01/burgacc/hf4/out/hfit_hf4.json
ALL-DONE
