jax_backend=gpu

### k=12 src=9  ceiling 2.973e-03  ROM 1.962e-01  obj0 4.3163e-02 -> 9.1232e-03 (red 2.11e-01)  obj@ceil 1.0176e-04  iters 60 acc 38 reason 0  |z0-zceil| 0.314 |zfin-zceil| 3.552
   it   lam       ||r||       ||r_new||   acc  ||dz||    ||z||   cond(J)   ||g||
     0 1.00e-06 4.3163e-02 3.9317e+01 .  1.858e+01 0.209 7.061e+02 8.957e-03
     1 1.00e-05 4.3163e-02 1.9809e+01 .  1.582e+01 0.209 7.061e+02 8.957e-03
     2 1.00e-04 4.3163e-02 7.7988e-01 .  7.696e+00 0.209 7.061e+02 8.957e-03
     3 1.00e-03 4.3163e-02 3.2208e-02 A  1.705e+00 0.209 7.061e+02 8.957e-03
     4 3.33e-04 3.2208e-02 1.2214e-01 .  2.800e+00 1.700 2.078e+02 2.209e-03
     5 3.33e-03 3.2208e-02 5.2076e-02 .  1.524e+00 1.700 2.078e+02 2.209e-03
     6 3.33e-02 3.2208e-02 2.6828e-02 A  6.385e-01 1.700 2.078e+02 2.209e-03
     7 1.11e-02 2.6828e-02 2.1438e-02 A  6.758e-01 2.128 9.730e+01 2.310e-03
     8 3.70e-03 2.1438e-02 1.7544e-02 A  1.020e+00 2.146 6.971e+01 7.145e-04
     9 1.23e-03 1.7544e-02 1.6237e-02 A  8.197e-01 2.515 6.753e+01 6.401e-04
    10 4.12e-04 1.6237e-02 1.4560e-02 A  6.932e-01 2.735 6.438e+01 6.411e-04
    11 1.37e-04 1.4560e-02 1.4323e-02 A  7.166e-01 2.936 5.498e+01 4.170e-04
    12 4.57e-05 1.4323e-02 1.3861e-02 A  1.060e+00 3.058 8.931e+01 5.692e-04
    13 1.52e-05 1.3861e-02 1.5616e-02 .  1.248e+00 2.808 8.235e+01 3.509e-04
    14 1.52e-04 1.3861e-02 1.5182e-02 .  1.149e+00 2.808 8.235e+01 3.509e-04
    15 1.52e-03 1.3861e-02 1.3807e-02 A  6.599e-01 2.808 8.235e+01 3.509e-04
    16 5.08e-04 1.3807e-02 1.2101e-02 A  6.779e-01 2.829 7.398e+01 1.481e-03
    17 1.69e-04 1.2101e-02 1.1013e-02 A  3.105e-01 3.130 5.952e+01 4.062e-04
    18 5.65e-05 1.1013e-02 1.0615e-02 A  4.497e-01 3.177 6.926e+01 7.397e-05
    19 1.88e-05 1.0615e-02 1.0048e-02 A  5.452e-01 3.194 6.712e+01 1.997e-04
    20 6.27e-06 1.0048e-02 9.8422e-03 A  2.010e-01 3.134 7.113e+01 2.347e-04
    21 2.09e-06 9.8422e-03 9.8115e-03 A  1.491e-01 3.082 8.301e+01 3.827e-05
    22 6.97e-07 9.8115e-03 9.7955e-03 A  2.065e-01 3.139 7.970e+01 2.340e-05
    23 2.32e-07 9.7955e-03 9.7923e-03 A  2.921e-01 3.125 8.585e+01 3.794e-05
    24 7.74e-08 9.7923e-03 9.7081e-03 A  4.577e-01 3.244 8.075e+01 7.972e-05
